id,arrival_time,wait_triage,wait_consultation,wait_diagnostics,wait_treatment,service_triage,service_consultation,service_diagnostics,service_treatment,departure_time,los
1,0.04080241149099204,0.0,0.0,0.0,0.0,0.03788792785051703,0.43676027436363424,0.8379228340041103,0.602511988280373,1.9558854359896265,1.9150830244986345
2,0.1269909155205805,0.0,0.0,0.6766046434625963,0.0,0.15742380018338584,0.7406577343288666,0.6282247319356354,0.8395790227470362,3.169480848178101,3.0424899326575208
3,0.21212916281472455,0.0,0.0,0.0,0.0,0.17966849114602276,0.5690332709500049,0.740846168584677,0.24455632840209973,1.946233421897529,1.7341042590828044
4,0.28444724802183735,0.0,0.0,0.3884904506984459,0.0,0.2820830612449708,0.3983526877439996,1.0906201848967692,1.8866475034247887,4.3306411360308115,4.0461938880089745
5,0.9481613457881115,0.0,0.0,0.6621867013226748,0.36302799855921375,0.04674312496401121,0.6728106533562672,0.4765510241878227,2.7789178792277145,5.948398727405816,5.000237381617704
6,1.275712857110805,0.0,0.0,0.7148913686529825,1.0950774235264809,0.017420948757797247,0.43596845808443796,0.791570079898308,0.8710611769966189,5.201702313027431,3.9259894559166257
7,1.5625583471009914,0.0,0.0,0.6103912302069263,1.9069313675258885,0.17171902822412785,0.461784244086842,0.48831809588265485,0.201269110253808,5.4029714232812385,3.840413076180247
8,1.9287540051016616,0.0,0.0,0.6627062321636319,1.3924288585672953,0.002950337020473121,0.6411531382185641,1.0368104657698674,0.8884551995103136,6.553258236351807,4.624504231250145
9,1.9444257284275483,0.0,0.0,0.5458853350265374,1.609622903000992,0.4404764936648366,0.36398338838262,0.49857757477870424,0.2618316135602546,5.6648030368414934,3.720377308413945
10,2.0285782452013406,0.0,0.0,0.76343186455202,1.3965430661807154,0.010758644519095825,0.9905797660077902,0.7585071409448536,0.6939714664902621,6.6423701938960775,4.613791948694737
11,2.414127557528165,0.0,0.11973121267891118,1.380009007906351,1.3247508149845695,0.03899871013362262,0.5989891729780504,0.6766517601421371,0.7587460787738818,7.312004315125689,4.897876757597524
12,2.602126392517426,0.0,0.06412176868456765,1.2324926481991794,1.3795572018881446,0.08263744927301124,0.29099591960001403,0.9904388137337344,0.514989670598909,7.157359864494986,4.5552334719775605
13,2.9399848914012314,0.0,0.0,1.7215887977735873,1.2932523204173334,0.2712085600518684,0.2957251721405505,0.7902445733411181,0.4144368617406962,7.726441176866385,4.786456285465153
14,3.2500750728697905,0.0,0.0,1.5491751670542326,0.8168204405489554,0.6330764375865606,0.5864253171977714,0.8908687416090739,0.09731195542120877,7.823753132287594,4.573678059417803
15,3.700430603866597,0.0,0.0,1.1571517047241127,1.3975142206260864,0.1048296386678528,0.30040104474936996,0.49703265186096685,0.4344329230668433,7.59179278756183,3.891362183695233
16,3.792606702822554,0.012653539711895867,0.0,1.4666570658555038,1.2065268218319547,0.14489366174775786,0.34303467373118834,0.6254203218609748,2.3903975383911837,9.982190325953013,6.189583623130459
17,4.036449923470902,0.0,0.11553337053660506,2.244676792119984,1.2449858739186705,0.9708554291392479,0.6173552077729557,0.6826608019896331,0.5552735847833468,10.467790983731344,6.431341060260443
18,4.289497318239593,0.0,0.0,1.5570842960918645,0.5052497883679061,0.053368176101105426,0.48531617529731286,0.9332373781898128,0.0915198867397242,7.915273019027318,3.6257757007877256
19,4.54993855480864,0.0,0.0,1.7867820131706749,0.3687253081843185,0.048585579616525716,0.5243145887215893,0.6369269745255702,0.40421214473282996,8.319485163760149,3.769546608951509
20,4.571975010144957,0.026549124280208503,0.0,2.0239299605351038,0.3346144407204541,0.20277287294428342,0.4932763760151352,0.6663673791200069,0.45743369864030514,8.776918862400453,4.2049438522554965
21,4.6532799352826,0.14801707208684878,0.006435134552840616,2.0656408164699975,0.5628639858704751,0.020449527715720797,0.6527252247349918,0.6675071656869792,1.1355985365475438,9.912517398947998,5.259237463665397
22,5.525138313717822,0.0,0.0,1.9207539680860446,1.145740242132776,0.1955938683956196,0.5725687263304919,0.6223952072902587,0.31126593224083277,10.293456258193846,4.768317944476024
23,5.946984574551342,0.0,0.0,2.0467680025366377,1.1474846391095515,0.08428840639736171,0.5894905415439856,0.4784400940549668,0.3123907991271117,10.605847057320958,4.6588624827696155
24,6.0877246383087,0.0,0.0,2.1863747280280315,0.721911872053898,0.15033484319404228,0.4120158742894629,1.047485101446823,0.2188103048115876,10.824657362132545,4.736932723823845
25,6.2385183916583795,0.0,0.0,2.4524301844007317,0.7041662402738513,0.14904275522848692,0.3059802877966966,0.6176531243731987,0.42652184333174503,10.89431282706309,4.65579443540471
26,6.3778068830272625,0.0,0.21393955401635179,2.3805728724845556,0.0,0.029017085449074782,0.7622883484802477,1.2348872385169574,0.567813039560102,11.566325021534553,5.18851813850729
27,6.891337411804169,0.0,0.0,2.317408503577491,0.023797730584414367,0.11733320307630772,0.5578560668090919,0.9169244462810702,1.0087261502620497,11.833383512394594,4.942046100590425
28,7.294149081598401,0.0,0.0,3.1771892455654314,0.0,0.004418155835949534,0.32510314854834854,0.9151696655193791,0.8394844211648905,12.5555137182324,5.261364636633998
29,7.317045491484498,0.0,0.045525513264101036,3.166500226227166,0.0,0.020480866224338125,0.44895988477434756,0.9900841315040257,1.0987542117960092,13.087350325274485,5.770304833789988
30,7.375484635236597,0.0,0.16916683321098525,3.8355754479584547,1.3074481792023338,0.02187521324198645,0.7391998963671198,0.7367006068402184,0.043057416199445156,14.228508228257141,6.853023593020544
